feature,tipo_dato,nulos,n_unicos,pct_nulos
trabajador_independiente,int64,0,2,0.0
trabajador_dependiente,int64,0,2,0.0
empleador,int64,0,2,0.0
trabajador_hogar,int64,0,2,0.0
trabajador_familiar_no_remunerado,int64,0,2,0.0
sector_publico,int64,0,2,0.0
sector_privado,int64,0,2,0.0
sector_publico,int64,0,2,0.0
sector_privado,int64,0,2,0.0
empresa_registrada_sunat,int64,0,2,0.0
empresa_no_registrada_sunat,int64,0,2,0.0
lleva_libros_contables,int64,0,2,0.0
posible_informalidad,int64,0,2,0.0
empresa_pequena,int64,0,2,0.0
empresa_mediana_grande,int64,0,2,0.0
busca_otro_empleo,int64,0,2,0.0
horas_principal,float64,0,107,0.0
horas_secundaria,float64,0,62,0.0
horas_totales,float64,0,109,0.0
trabaja_menos_35h,int64,0,2,0.0
trabaja_mas_48h,int64,0,2,0.0
sobrejornada,int64,0,2,0.0
brecha_horas_normal,float64,20614,47,85.6988
tiene_seguro_salud,int64,0,2,0.0
tiene_essalud,int64,0,2,0.0
tiene_sis,int64,0,2,0.0
tiene_afp,int64,0,2,0.0
tiene_snp,int64,0,2,0.0
tiene_pension,int64,0,2,0.0
proteccion_social_completa,int64,0,2,0.0
