C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,target_subempleo_horas,sexo_mujer,sexo_hombre,edad,grupo_edad,joven,adulto_mayor,jefe_hogar,conyuge,hijo_hogar,tiene_discapacidad,cantidad_limitaciones,lengua_materna_indigena,autoidentificacion_indigena,autoidentificacion_afro,autoidentificacion_mestizo,nivel_educativo_ord,educacion_basica_o_menos,secundaria_completa,superior_incompleta,superior_completa,universitaria_completa_o_mas,educacion_superior,brecha_educativa_baja,grupo_educativo,trabajador_independiente,trabajador_dependiente,empleador,trabajador_hogar,trabajador_familiar_no_remunerado,sector_publico,sector_privado,empresa_registrada_sunat,empresa_no_registrada_sunat,lleva_libros_contables,posible_informalidad,empresa_pequena,empresa_mediana_grande,busca_otro_empleo,horas_totales,horas_principal,horas_secundaria,trabaja_menos_35h,trabaja_mas_48h,sobrejornada,brecha_horas_normal,tiene_seguro_salud,tiene_essalud,tiene_sis,tiene_afp,tiene_snp,tiene_pension,proteccion_social_completa,ingreso_total,ingreso_principal,ingreso_laboral,ingreso_total_log,ingreso_principal_log,ingreso_laboral_log,ingreso_por_hora,ingreso_por_hora_log,ingreso_secundario_total,tiene_ingreso_secundario,proporcion_ingreso_principal,dependencia_ingreso_principal,bajo_ingreso_relativo,alto_ingreso_relativo,ingreso_cero,ingreso_outlier
2,60.0,1,11,5, ,2, ,3,2,1,1,2,36.0,,36.0,,1367.0,1367.0,1367.0,,1367.0,,,7.221105098182496,7.221105098182496,7.221105098182496,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,60.0,55_64,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,1,0,0,0,0,0,0,0,1,0,1,1,0,0,36.0,36.0,0.0,0,0,0,,1,0,1,0,0,0,0,1367.0,1367.0,1367.0,7.221105098182496,7.221105098182496,7.221105098182496,8.769566333076726,2.2792720774622373,1367.0,1,1.0,1,0,0,0,0
2,49.0,7,6,5, ,2, ,3,2,1,1,2,30.0,,30.0,,1534.0,1534.0,1534.0,,1404.0,,,7.336285660021297,7.336285660021297,7.336285660021297,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,1,0,49.0,45_54,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,30.0,30.0,0.0,1,0,0,,1,0,1,0,0,0,0,1534.0,1534.0,1534.0,7.336285660021297,7.336285660021297,7.336285660021297,11.809083910700538,2.5501545997449075,1404.0,1,1.0,1,0,0,0,0
1,52.0,1,6,5, ,2, ,3,2,1,1,2,40.0,,40.0,,1400.0,1400.0,1400.0,,1400.0,,,7.244941546337007,7.244941546337007,7.244941546337007,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,52.0,45_54,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,40.0,40.0,0.0,0,0,0,,1,0,1,1,0,1,1,1400.0,1400.0,1400.0,7.244941546337007,7.244941546337007,7.244941546337007,8.083140877598153,2.20642004442932,1400.0,1,1.0,1,0,0,0,0
2,51.0,2,6,5, ,3,5,2,2,1,3,2,72.0,,72.0,,1516.0,1516.0,1516.0,1516.0,,,,7.324489979348532,7.324489979348532,7.324489979348532,5,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,51.0,45_54,0,0,0,1,0,0,0,1,1,0,0,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,1,0,0,72.0,72.0,0.0,0,1,1,,1,0,1,0,0,0,0,1516.0,1516.0,1516.0,7.324489979348532,7.324489979348532,7.324489979348532,4.862714908904286,1.7686127913357736,0.0,0,1.0,1,0,0,0,0
2,43.0,1,6,5, ,3,5,2,2,1,3,2,30.0,,30.0,,1083.0,1083.0,1083.0,1083.0,,,,6.988413181999592,6.988413181999592,6.988413181999592,6,2,2,2,2,2,2,2,2,2,2,10,1,0,0,0,0,0,0,1,0,43.0,35_44,0,0,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,1,0,0,30.0,30.0,0.0,1,0,0,,0,0,0,0,0,0,0,1083.0,1083.0,1083.0,6.988413181999592,6.988413181999592,6.988413181999592,8.337182448036952,2.234004541638281,0.0,0,1.0,1,0,0,0,0
1,42.0,2,6,5, ,2, ,2,2,1,1,2,16.0,,16.0,,2300.0,2300.0,2300.0,,2300.0,,,7.741099090035366,7.741099090035366,7.741099090035366,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,0,1,42.0,35_44,0,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,1,0,0,0,1,0,0,16.0,16.0,0.0,1,0,0,,1,0,1,1,0,1,1,2300.0,2300.0,2300.0,7.741099090035366,7.741099090035366,7.741099090035366,33.198614318706696,3.5321851262508437,2300.0,1,1.0,1,0,0,0,0
1,75.0,1,5,1, ,2, ,3,2,1,1,2,30.0,,30.0,,590.0,590.0,590.0,,590.0,,,6.3818160174060985,6.3818160174060985,6.3818160174060985,5,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,1,0,1,75.0,65_mas,0,1,1,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,Secundaria incompleta,1,0,0,0,0,0,0,0,1,0,1,1,0,0,30.0,30.0,0.0,1,0,0,,1,0,1,0,0,0,0,590.0,590.0,590.0,6.3818160174060985,6.3818160174060985,6.3818160174060985,4.541955350269438,1.7123473897987034,590.0,1,1.0,1,1,0,0,0
2,36.0,3,11,5, ,3,5,1, ,5,1000,2,36.0,,36.0,,2052.0,2052.0,2553.0,2000.0,,,,7.627057417018934,7.627057417018934,7.845416036592485,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,36.0,35_44,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,0,1,1,0,0,0,0,1,0,36.0,36.0,0.0,0,0,0,,1,1,0,0,1,1,1,2052.0,2052.0,2553.0,7.627057417018934,7.627057417018934,7.845416036592485,16.377983063895304,2.855204063844972,0.0,0,1.0,1,0,0,0,0
2,31.0,3,10,2, ,3,2, , ,5,9998,2,40.0,,40.0,,1500.0,1500.0,1500.0,1500.0,,,,7.313886831633462,7.313886831633462,7.313886831633462,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,0,31.0,25_34,0,0,0,0,1,0,0,0,0,0,1,10,0,0,0,1,1,1,0,Superior universitaria,0,1,0,0,0,1,0,0,0,0,0,0,1,0,40.0,40.0,0.0,0,0,0,,1,0,1,0,0,0,0,1500.0,1500.0,1500.0,7.313886831633462,7.313886831633462,7.313886831633462,8.660508083140877,2.2680462434397084,0.0,0,1.0,1,0,0,0,0
2,31.0,1,6,5, ,3,5,3,2,1,2,2,6.0,,6.0,,90.0,90.0,90.0,90.0,,,,4.51085950651685,4.51085950651685,4.51085950651685,5,2,1,2,2,2,2,2,2,2,2,10,6,0,0,0,0,0,1,1,0,31.0,25_34,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,0,1,0,1,1,0,0,6.0,6.0,0.0,1,0,0,,1,0,1,0,0,0,0,90.0,90.0,90.0,4.51085950651685,4.51085950651685,4.51085950651685,3.464203233256351,1.496090751205841,0.0,0,1.0,1,1,0,0,0
