columna,tipo,n_unicos,frecuencia_max
REGION,constante,1.0,
C306A,constante,1.0,
C361_7,constante,1.0,
C362_7,constante,1.0,
OCUP300,constante,1.0,
RESIDENT,constante,1.0,
OCUP300_num,constante,1.0,
C208_outlier_flag,constante,1.0,
C204,casi_constante,,0.996
C205,casi_constante,,0.996
C206,casi_constante,,0.996
C344,casi_constante,,0.9988
C347_T,casi_constante,,0.9941
C352,casi_constante,,0.9978
C353,casi_constante,,0.9978
C354,casi_constante,,0.9978
C355,casi_constante,,0.9978
C356,casi_constante,,0.9978
C357_I,casi_constante,,0.9996
C358,casi_constante,,0.9995
C361_6,casi_constante,,0.9987
C362_6,casi_constante,,0.9987
C361_8,casi_constante,,1.0
C362_8,casi_constante,,1.0
C364_3,casi_constante,,0.9991
C365_3,casi_constante,,0.9991
C375_1,casi_constante,,0.997
C375_2,casi_constante,,0.9994
C375_3,casi_constante,,0.9996
C375_4,casi_constante,,0.9986
C375_5,casi_constante,,0.9981
C375_6,casi_constante,,0.9983
D347_T,casi_constante,,0.9941
whoraT_missing_flag,casi_constante,,0.9999
C318_T_missing_flag,casi_constante,,1.0
whoraT_outlier_flag,casi_constante,,0.9999
