ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_ond24,fa_efm24,fa_amj24,fa_jas24,C208_num,OCUP300_num,P209H_num,target_subempleo_horas,whoraT_missing_flag,C318_T_missing_flag,C208_outlier_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,INGTOT_log,INGTOTP_log,INGTRABW_log,I339_1_log,I342_log,I345_1_log,I348_log,C208_std,C318_T_std,C328_T_std,whoraT_std,C331_std,INGTOT_std,INGTOTP_std,ingtrabw_std,I339_1_std,I342_std,I345_1_std,I348_std,INGTOT_log_std,INGTOTP_log_std,INGTRABW_log_std
2024,10,18117,2,61,1,1,202410181172006016,1,1,1,1,2, ,2,60.0,1,1,19.0,5.0,1964,1, , , , , , , , , , , , , , , ,9411,5610,2, ,3,2,1,1,0,6,6,6,6,6,6,36.0,,36.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,, ,1367.0, ,,, , , ,1367.0,1367.0,1367.0,1,700.400712309202,,,,60.0,1.0,2.0,0,0,0,0,0,0,0,7.221105098182496,7.221105098182496,7.221105098182496,,7.221105098182496,,,1.2155692153213784,-0.2534905597843274,,-0.47465057923204773,,-0.3295439996731269,-0.3116402599540172,-0.3565628242292687,,-0.10433663840100689,,,-0.06447464858204116,-0.027958370217639344,-0.11127969582805138
2024,10,18117,2,61,1,1,202410181172006016,1,2,7,1,2, ,2,49.0,2,2,30.0,11.0,1974,1, , , , , , , , , , , , , , , ,9411,5610,2, ,3,2,1,1,0,5,5,5,5,5,5,30.0,,30.0,1,,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,1404.0,130,,, , , ,1534.0,1534.0,1534.0,1,700.400712309202,,,,49.0,1.0,1.0,1,0,0,0,0,0,0,7.336285660021297,7.336285660021297,7.336285660021297,,7.247792581767846,,,0.47168879559215326,-0.5719901292854266,,-0.8098324744408337,,-0.24865742218103232,-0.2262871495513315,-0.28471927915657463,,-0.0856913779543503,,,0.06463112664330889,0.1007192398870079,0.013890399017383209
2024,10,1823302,1,59,1,1,20241018233021001728,1,1,1,1,2, ,1,52.0,1,2,14.0,9.0,1972,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,0,8,8,8,8,8,0,40.0,,40.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,1400.0, ,,, , , ,1400.0,1400.0,1400.0,1,896.469463880284,,,,52.0,1.0,2.0,0,0,0,0,0,0,0,7.244941546337007,7.244941546337007,7.244941546337007,,7.244941546337007,,,0.6745652737001238,-0.04115751345026121,,-0.25119598242619046,,-0.31356042448007826,-0.2947740764612709,-0.34236619556220943,,-0.0877070817864213,,,-0.03775639796338256,-0.001328727742041252,-0.08537592848531111
2024,10,1823302,1,59,1,1,20241018233021001728,1,2,2,1,2, ,2,51.0,2,2,10.0,10.0,1972,1, , , , , , , , , , , , , , , ,5120,5610,3,5,2,2,1,3,12,12,12,12,0,12,12,72.0,,72.0,1,,2, ,2,2,2,350, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,1,1516.0, ,, ,,, , , ,1516.0,1516.0,1516.0,1,844.036079933212,,,,51.0,1.0,2.0,0,0,0,0,0,0,0,7.324489979348532,7.324489979348532,7.324489979348532,7.324489979348532,,,,0.6069397809974669,1.657506857222268,,1.5364407920206682,,-0.2573757359226952,-0.2354868860019204,-0.29246289479315246,-0.2977647059453189,,,,0.05140936011208296,0.08754132189201412,0.0010716868579229246
2024,10,1823302,1,60,1,1,20241018233021001728,1,1,1,1,2, ,2,43.0,1,1,25.0,4.0,1981,1, , , , , , , , , , , , , , , ,4419,8610,3,5,2,2,1,3,0,5,5,5,5,5,5,30.0,,30.0,1,,2, ,2,2,2,250, , , , , , , , , , , , , , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1083.0, ,, ,,, , , ,1083.0,1083.0,1083.0,1,1017.64626579777,,,,43.0,1.0,2.0,0,0,0,0,0,0,0,6.988413181999592,6.988413181999592,6.988413181999592,6.988413181999592,,,,0.06593583937621221,-0.5719901292854266,,-0.8098324744408337,,-0.46709961648603027,-0.45679165728553045,-0.47873987093971854,-0.5246759873074249,,,,-0.32529878199363493,-0.2879175090434414,-0.3641528260975727
2024,10,1823302,1,60,1,1,20241018233021001728,1,2,2,1,2, ,1,42.0,2,2,27.0,4.0,1982,1, , , , , , , , , , , , , , , ,3422,8541,2, ,2,2,1,1,0,4,0,4,0,4,4,16.0,,16.0,1,,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,2300.0, ,,, , , ,2300.0,2300.0,2300.0,1,1134.12820663793,,,,42.0,1.0,2.0,0,0,0,0,0,0,0,7.741099090035366,7.741099090035366,7.741099090035366,,7.741099090035366,,,-0.0016896533264446295,-1.315155791454658,,-1.5919235632613344,,0.12235526260306616,0.1652127460681727,0.04481458626668088,,0.36582628042954957,,,0.5183860907556026,0.5529693755077836,0.453813026764949
2024,10,1823302,1,61,1,1,20241018233021001728,1,1,1,1,2, ,1,75.0,1,1,27.0,2.0,1949,1, , , , , , , , , , , , , , , ,9331,4923,2, ,3,2,1,1,0,5,5,5,5,5,5,30.0,,30.0,1,,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,1,1,1,, ,590.0, ,,, , , ,590.0,590.0,590.0,1,896.469463880284,,,,75.0,1.0,1.0,1,0,0,0,0,0,0,6.3818160174060985,6.3818160174060985,6.3818160174060985,,6.3818160174060985,,,2.229951605861231,-0.5719901292854266,,-0.8098324744408337,,-0.7058845428549083,-0.7087622167377702,-0.6908288992082107,,-0.49588710778079503,,,-1.0052329300310998,-0.9655967301726694,-1.0233597566159551
2024,10,1823302,1,61,1,1,20241018233021001728,1,3,3,1,2, ,2,36.0,3,3,11.0,11.0,1987,1, , , , , , , , , , , , , , , ,2222,8610,3,5,1, ,5,1000,0,12,0,12,0,12,0,36.0,,36.0,1,,2, ,2,2,4,2000,12, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,2000.0,52,, ,,, , ,501,2052.0,2052.0,2553.0,1,1017.64626579777,,,,36.0,1.0,2.0,0,0,0,0,0,0,0,7.627057417018934,7.627057417018934,7.845416036592485,7.601402334583733,,,,-0.40744260954238565,-0.2534905597843274,,-0.47465057923204773,,0.0022362732734885872,0.038460821637837136,0.15365540604746894,-0.044127153568276595,,,,0.39055689485891815,0.42556411109669623,0.5671773122492897
2024,10,1823302,1,62,1,1,20241018233021001728,1,2,3,1,2, ,2,31.0,2,2,10.0,11.0,1992,1, , , , , , , , , , , , , , , ,4417,8610,3,2, , ,5,9998,0,8,8,8,8,8,0,40.0,,40.0,1,,2, ,2,2,4,1500, , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,1,1500.0, ,, ,,, , , ,1500.0,1500.0,1500.0,1,1017.64626579777,,,,31.0,1.0,2.0,0,0,0,0,0,0,0,7.313886831633462,7.313886831633462,7.313886831633462,7.313886831633462,,,,-0.7455700730556698,-0.04115751345026121,,-0.25119598242619046,,-0.26512534813750666,-0.24366442951355494,-0.2993461086923327,-0.306149418420593,,,,0.039524302566532235,0.07569567983418785,-0.010451064758907386
2024,10,17564,1,124,1,1,202410175641012000,1,1,1,1,2, ,2,31.0,1,1,5.0,5.0,1993,1, , , , , , , , , , , , , , , ,9334,4921,3,5,3,2,1,2,6,0,0,0,0,0,0,6.0,,6.0,1,,1,1,1,2,3,45, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,1,90.0, ,, ,,, , , ,90.0,90.0,90.0,1,954.561062383922,,,,31.0,1.0,1.0,1,0,0,0,0,0,0,4.51085950651685,4.51085950651685,4.51085950651685,4.51085950651685,,,,-0.7455700730556698,-1.8459884072898236,,-2.1505600552759776,,-0.9480599245677663,-0.9643104514763499,-0.9059293335575942,-1.0450522053041253,,,,-3.1023861900519174,-3.055795011788054,-3.0565830729550667
