C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,target_subempleo_horas
2,60.0,1,11,5, ,2, ,3,2,1,1,2,36.0,,36.0,,1367.0,1367.0,1367.0,,1367.0,,,7.221105098182496,7.221105098182496,7.221105098182496,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,49.0,7,6,5, ,2, ,3,2,1,1,2,30.0,,30.0,,1534.0,1534.0,1534.0,,1404.0,,,7.336285660021297,7.336285660021297,7.336285660021297,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,52.0,1,6,5, ,2, ,3,2,1,1,2,40.0,,40.0,,1400.0,1400.0,1400.0,,1400.0,,,7.244941546337007,7.244941546337007,7.244941546337007,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,51.0,2,6,5, ,3,5,2,2,1,3,2,72.0,,72.0,,1516.0,1516.0,1516.0,1516.0,,,,7.324489979348532,7.324489979348532,7.324489979348532,5,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0
2,43.0,1,6,5, ,3,5,2,2,1,3,2,30.0,,30.0,,1083.0,1083.0,1083.0,1083.0,,,,6.988413181999592,6.988413181999592,6.988413181999592,6,2,2,2,2,2,2,2,2,2,2,10,1,0,0,0,0,0,0
1,42.0,2,6,5, ,2, ,2,2,1,1,2,16.0,,16.0,,2300.0,2300.0,2300.0,,2300.0,,,7.741099090035366,7.741099090035366,7.741099090035366,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,75.0,1,5,1, ,2, ,3,2,1,1,2,30.0,,30.0,,590.0,590.0,590.0,,590.0,,,6.3818160174060985,6.3818160174060985,6.3818160174060985,5,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,1
2,36.0,3,11,5, ,3,5,1, ,5,1000,2,36.0,,36.0,,2052.0,2052.0,2553.0,2000.0,,,,7.627057417018934,7.627057417018934,7.845416036592485,1,1,2,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,31.0,3,10,2, ,3,2, , ,5,9998,2,40.0,,40.0,,1500.0,1500.0,1500.0,1500.0,,,,7.313886831633462,7.313886831633462,7.313886831633462,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,31.0,1,6,5, ,3,5,3,2,1,2,2,6.0,,6.0,,90.0,90.0,90.0,90.0,,,,4.51085950651685,4.51085950651685,4.51085950651685,5,2,1,2,2,2,2,2,2,2,2,10,6,0,0,0,0,0,1
1,29.0,1,6,5, ,2, ,3,2,1,1,2,84.0,,84.0,,4100.0,4100.0,4100.0,,4100.0,,,8.31898612539206,8.31898612539206,8.31898612539206,5,2,1,2,1,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,37.0,1,11,5, ,3,5,1, ,5,650,2,50.0,,50.0,,4000.0,4000.0,4025.0,4000.0,,,,8.294299608857235,8.294299608857235,8.300528606199737,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
1,33.0,1,6,5, ,3,5,1, ,2,30,2,46.0,,48.0,48.0,1025.0,1025.0,1025.0,1025.0,,,,6.933423025730715,6.933423025730715,6.933423025730715,1,1,2,1,2,2,2,2,2,2,2,10,1,0,0,0,0,0,1
1,27.0,7,6,5, ,3,5,3,2,1,2,1,54.0,,54.0,,1039.0,1039.0,1039.0,1039.0,,,,6.946975992135418,6.946975992135418,6.946975992135418,5,2,1,1,2,2,2,2,2,2,2,10,1,0,0,0,0,0,1
1,63.0,1,6,5, ,2, ,3,2,1,1,2,24.0,,48.0,48.0,900.0,900.0,900.0,,900.0,,,6.803505257608338,6.803505257608338,6.803505257608338,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
2,60.0,2,6,5, ,2, ,2,2,1,1,2,60.0,,60.0,,1032.0,1032.0,1032.0,,1032.0,,,6.940222469119639,6.940222469119639,6.940222469119639,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
2,33.0,3,11,5, ,3,5,2,1,1,6,2,46.0,,46.0,,1083.0,1083.0,1083.0,1083.0,,,,6.988413181999592,6.988413181999592,6.988413181999592,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0
1,41.0,1,6,5, ,2, ,3,2,1,1,2,27.0,,27.0,,1415.0,1415.0,1415.0,,1415.0,,,7.255591274253665,7.255591274253665,7.255591274253665,6,2,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
2,45.0,2,6,5, ,2, ,3,2,1,1,2,22.0,,22.0,,1000.0,1000.0,1000.0,,850.0,,,6.90875477931522,6.90875477931522,6.90875477931522,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1
