,cantidad_nulos,porcentaje_nulos
fa_ond24,18334,76.2202
fa_jas24,18062,75.0894
fa_amj24,17885,74.3535
fa_efm24,17881,74.3369
C301_MES,82,0.3409
C301_DIA,78,0.3243
CONGLOMERADO,0,0.0
MUESTRA,0,0.0
ANIO,0,0.0
MES,0,0.0
C201,0,0.0
ESTRATO,0,0.0
LLAVE_PANEL,0,0.0
REGION,0,0.0
HOGAR,0,0.0
SELVIV,0,0.0
C203,0,0.0
C204,0,0.0
NROINF,0,0.0
C300n,0,0.0
C301_ANIO,0,0.0
C303,0,0.0
C207,0,0.0
C208,0,0.0
C205,0,0.0
C206,0,0.0
C306_3,0,0.0
C306_4,0,0.0
C306_5,0,0.0
C306_6,0,0.0
C306_7,0,0.0
C306_8,0,0.0
C306_9,0,0.0
C306_10,0,0.0
C306_10A,0,0.0
C306_11,0,0.0
C306A,0,0.0
C308_COD,0,0.0
C304,0,0.0
C305,0,0.0
C306_1,0,0.0
C306_2,0,0.0
C313,0,0.0
C317,0,0.0
C317A,0,0.0
C318_1,0,0.0
C318_2,0,0.0
C318_3,0,0.0
C318_4,0,0.0
C318_5,0,0.0
C318_6,0,0.0
C318_7,0,0.0
C318_T,0,0.0
C328_T,0,0.0
whoraT,0,0.0
C330,0,0.0
C331,0,0.0
C333,0,0.0
C334,0,0.0
P209H,0,0.0
C335,0,0.0
C338,0,0.0
C339_1,0,0.0
C341_T,0,0.0
C342,0,0.0
C344,0,0.0
C345_1,0,0.0
C347_T,0,0.0
C348,0,0.0
C350,0,0.0
C309_COD,0,0.0
C310,0,0.0
C311,0,0.0
C312,0,0.0
C355,0,0.0
C354,0,0.0
C353,0,0.0
C352,0,0.0
C356,0,0.0
C357_I,0,0.0
C358,0,0.0
C359,0,0.0
C362_2,0,0.0
C361_3,0,0.0
C362_3,0,0.0
C361_4,0,0.0
SEGURO1,0,0.0
C361_1,0,0.0
C362_1,0,0.0
C361_2,0,0.0
C362_6,0,0.0
C361_7,0,0.0
C362_7,0,0.0
C361_8,0,0.0
C362_8,0,0.0
C364_1,0,0.0
C365_1,0,0.0
C364_2,0,0.0
C365_2,0,0.0
C364_3,0,0.0
C365_3,0,0.0
C364_4,0,0.0
C362_4,0,0.0
C361_5,0,0.0
C362_5,0,0.0
C361_6,0,0.0
C366_2,0,0.0
C366_1,0,0.0
C366,0,0.0
C365_4,0,0.0
C375_1,0,0.0
C375_2,0,0.0
C375_3,0,0.0
C375_4,0,0.0
OCUP300,0,0.0
I339_1,0,0.0
D341_T,0,0.0
I342,0,0.0
C375_5,0,0.0
C375_6,0,0.0
C376,0,0.0
C377,0,0.0
D347_T,0,0.0
I348,0,0.0
I345_1,0,0.0
D344,0,0.0
INGTOTP,0,0.0
INGTOT,0,0.0
D350,0,0.0
D351_T,0,0.0
ingtrabw,0,0.0
RESIDENT,0,0.0
C208_num,0,0.0
OCUP300_num,0,0.0
P209H_num,0,0.0
target_subempleo_horas,0,0.0
whoraT_missing_flag,0,0.0
C318_T_missing_flag,0,0.0
