variable,min_antes,min_después,p95_antes,p95_después,p99_antes,p99_después,max_antes,max_después
C208,14.0,14.0,67.0,67.0,76.0,76.0,92.0,92.0
C318_T,0.0,0.0,72.0,72.0,84.0,84.0,112.0,112.0
C328_T,2.0,2.0,40.0,40.0,56.0,56.0,87.0,87.0
whoraT,2.0,2.0,73.0,73.0,89.0,89.0,118.0,112.0
C331,2.0,2.0,70.0,70.0,84.0,84.0,112.0,112.0
INGTOT,3.0,3.0,5025.75,5025.75,10000.0,10000.0,40000.0,40000.0
INGTOTP,3.0,3.0,5000.0,5000.0,10000.0,10000.0,40000.0,40000.0
ingtrabw,3.0,3.0,5940.65,5940.65,12000.0,12000.0,40000.0,40000.0
I339_1,42.0,42.0,5000.0,5000.0,10000.0,10000.0,32000.0,32000.0
I342,1.0,1.0,4337.5,4337.5,9970.0,9970.0,40000.0,40000.0
I345_1,25.0,25.0,3380.0,3380.0,6000.0,6000.0,14000.0,14000.0
I348,8.0,8.0,2500.0,2500.0,5000.0,5000.0,18000.0,18000.0
