variable,Q1,Q3,IQR,lower_bound,upper_bound,outliers_inferiores,outliers_superiores,total_outliers,pct_outliers (%)
C208,30.0,53.0,23.0,-4.5,87.5,0,10,10,0.04
C318_T,30.0,50.0,20.0,0.0,80.0,0,455,455,1.89
whoraT,36.0,54.0,18.0,9.0,81.0,840,631,1471,6.12
C328_T,6.0,20.0,14.0,-15.0,41.0,0,110,110,0.46
C331,32.0,48.0,16.0,8.0,72.0,65,98,163,0.68
INGTOT,1025.0,2500.0,1475.0,-1187.5,4712.5,0,1525,1525,6.34
INGTOTP,1025.0,2400.0,1375.0,-1037.5,4462.5,0,1595,1595,6.63
ingtrabw,1033.0,2570.0,1537.0,-1272.5,4875.5,0,1745,1745,7.25
I339_1,1050.0,2500.0,1450.0,-1125.0,4675.0,0,1005,1005,4.18
I342,530.0,1932.0,1402.0,-1573.0,4035.0,0,461,461,1.92
I345_1,150.0,1155.0,1005.0,-1357.5,2662.5,0,44,44,0.18
I348,150.0,800.0,650.0,-825.0,1775.0,0,130,130,0.54
