variable,tipo_dato,nulos,pct_nulos,n_unicos
C207,int64,0,0.0,2
C208,float64,0,0.0,78
C203,int64,0,0.0,10
C366,int64,0,0.0,12
C366_1,str,0,0.0,9
C366_2,str,0,0.0,7
C310,int64,0,0.0,8
C311,str,0,0.0,6
C312,str,0,0.0,4
C313,str,0,0.0,3
C317,int64,0,0.0,5
C317A,int64,0,0.0,224
C335,str,0,0.0,3
C318_T,float64,0,0.0,107
C328_T,float64,21604,0.8981,61
whoraT,float64,0,0.0,109
C331,float64,20614,0.857,87
INGTOT,float64,774,0.0322,3021
INGTOTP,float64,774,0.0322,2843
ingtrabw,float64,774,0.0322,4118
I339_1,float64,9203,0.3826,532
I342,float64,15643,0.6503,1935
I345_1,float64,23491,0.9766,98
I348,float64,22516,0.9361,145
INGTOT_log,float64,774,0.0322,3021
INGTOTP_log,float64,774,0.0322,2843
INGTRABW_log,float64,774,0.0322,4118
SEGURO1,int64,0,0.0,6
C361_1,int64,0,0.0,2
C361_5,int64,0,0.0,2
C364_1,int64,0,0.0,2
C364_2,int64,0,0.0,2
C375_1,int64,0,0.0,2
C375_2,int64,0,0.0,2
C375_3,int64,0,0.0,2
C375_4,int64,0,0.0,2
C375_5,int64,0,0.0,2
C375_6,int64,0,0.0,2
C376,int64,0,0.0,10
C377,int64,0,0.0,9
whoraT_missing_flag,int64,0,0.0,2
C318_T_missing_flag,int64,0,0.0,2
whoraT_outlier_flag,int64,0,0.0,2
INGTOT_outlier_flag,int64,0,0.0,2
INGTRABW_outlier_flag,int64,0,0.0,2
target_subempleo_horas,int64,0,0.0,2
