categoria,variable
leakage,P209H
leakage,C333
leakage,C334
administrativas,ANIO
administrativas,MES
administrativas,CONGLOMERADO
administrativas,MUESTRA
administrativas,SELVIV
administrativas,HOGAR
administrativas,LLAVE_PANEL
administrativas,C201
administrativas,C300n
administrativas,NROINF
alto_missing,I345_1_log
alto_missing,I348_log
alto_missing,fa_ond24
alto_missing,fa_jas24
alto_missing,fa_amj24
alto_missing,fa_efm24
alto_missing,I342_log
constantes,REGION
constantes,C306A
constantes,C361_7
constantes,C362_7
constantes,OCUP300
constantes,RESIDENT
constantes,OCUP300_num
constantes,C208_outlier_flag
alta_cardinalidad,C308_COD
alta_cardinalidad,C309_COD
