ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_ond24,fa_efm24,fa_amj24,fa_jas24
2024,10,18117,2,61,1,1,202410181172006016,1,1,1,1,2, ,2,60,1,1,19,5,1964,1, , , , , , , , , , , , , , , ,9411,5610,2, ,3,2,1,1,0,6,6,6,6,6,6,36, ,36,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,1367, , , , , , ,1367,1367,1367,1,700.400712309202,,,
2024,10,18117,2,61,1,1,202410181172006016,1,2,7,1,2, ,2,49,2,2,30,11,1974,1, , , , , , , , , , , , , , , ,9411,5610,2, ,3,2,1,1,0,5,5,5,5,5,5,30, ,30,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1404,130, , , , , ,1534,1534,1534,1,700.400712309202,,,
2024,10,18117,2,61,1,1,202410181172006016,1,3,8,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,
2024,10,1823302,1,59,1,1,20241018233021001728,1,1,1,1,2, ,1,52,1,2,14,9,1972,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1400, , , , , , ,1400,1400,1400,1,896.469463880284,,,
2024,10,1823302,1,59,1,1,20241018233021001728,1,2,2,1,2, ,2,51,2,2,10,10,1972,1, , , , , , , , , , , , , , , ,5120,5610,3,5,2,2,1,3,12,12,12,12,0,12,12,72, ,72,1, ,2, ,2,2,2,350, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,1,1516, , , , , , , , ,1516,1516,1516,1,844.036079933212,,,
2024,10,1823302,1,60,1,1,20241018233021001728,1,1,1,1,2, ,2,43,1,1,25,4,1981,1, , , , , , , , , , , , , , , ,4419,8610,3,5,2,2,1,3,0,5,5,5,5,5,5,30, ,30,1, ,2, ,2,2,2,250, , , , , , , , , , , , , , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,1083, , , , , , , , ,1083,1083,1083,1,1017.64626579777,,,
2024,10,1823302,1,60,1,1,20241018233021001728,1,2,2,1,2, ,1,42,2,2,27,4,1982,1, , , , , , , , , , , , , , , ,3422,8541,2, ,2,2,1,1,0,4,0,4,0,4,4,16, ,16,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,2300, , , , , , ,2300,2300,2300,1,1134.12820663793,,,
2024,10,1823302,1,60,1,1,20241018233021001728,1,3,3,1,2, ,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,
2024,10,1823302,1,60,1,1,20241018233021001728,1,4,3,1,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,
2024,10,1823302,1,61,1,1,20241018233021001728,1,1,1,1,2, ,1,75,1,1,27,2,1949,1, , , , , , , , , , , , , , , ,9331,4923,2, ,3,2,1,1,0,5,5,5,5,5,5,30, ,30,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,1,1,1, , ,590, , , , , , ,590,590,590,1,896.469463880284,,,
