C318_T,INGTOT_log,INGTRABW_log,INGTOT,ingtrabw,C335_1,C335_2,busca_otro_empleo,I342,trabaja_menos_35h,INGTOTP,ingreso_por_hora_log,ingreso_secundario_total,ingreso_por_hora,C377,SEGURO1,INGTOTP_log,C208,horas_secundaria,I339_1,tiene_pension,C207,whoraT,tiene_sis,C361_5,C328_T,C366,grupo_edad_35_44,jefe_hogar,C311_ ,empresa_registrada_sunat,tiene_seguro_salud,proteccion_social_completa
51.0,7.22402480828583,7.22402480828583,1371.0,1371.0,False,True,0,1371.0,0,1371.0,1.975246402044197,1371.0,6.208395598424127,7,5,7.22402480828583,43.0,0.0,1500.0,0,1,51.0,1,1,10.0,6,True,1,True,0,1,0
60.0,6.765038976780541,6.765038976780541,866.0,866.0,False,True,0,866.0,0,866.0,1.466337068793427,866.0,3.333333333333333,7,5,6.765038976780541,78.0,0.0,1500.0,0,2,60.0,1,1,10.0,1,False,1,True,0,1,0
48.0,7.979681302387741,8.272315147956022,2920.0,3913.0,False,True,0,1160.0,0,2920.0,2.987043752135013,0.0,18.82698229407236,7,1,7.979681302387741,31.0,0.0,2300.0,1,1,48.0,0,2,10.0,10,False,1,False,1,1,1
42.0,7.783640596221253,7.783640596221253,2400.0,2400.0,False,True,0,2400.0,0,2400.0,2.6530281881050857,2400.0,13.196964698119432,7,1,7.783640596221253,37.0,0.0,1500.0,1,1,42.0,0,2,10.0,8,True,1,True,0,1,1
60.0,7.156176637480615,7.156176637480615,1281.0,1281.0,False,True,0,631.0,0,1281.0,1.780144936807362,631.0,4.930715935334873,7,5,7.156176637480615,52.0,0.0,1500.0,0,1,60.0,1,1,10.0,5,False,1,True,1,1,0
9.0,6.293419278846481,6.293419278846481,540.0,540.0,False,True,0,540.0,1,540.0,2.6984585434085107,540.0,13.856812933025404,1,5,6.293419278846481,30.0,0.0,1500.0,0,2,9.0,1,1,10.0,6,False,1,True,0,1,0
32.0,7.378383712996714,7.378383712996714,1600.0,1600.0,False,True,0,1160.0,0,1200.0,1.997546391944517,400.0,6.370948474954209,7,5,7.090909822079984,25.0,8.0,1200.0,0,2,58.0,1,1,8.0,11,False,1,False,1,1,0
37.0,7.131698510466912,7.131698510466912,1250.0,1250.0,True,False,1,1160.0,0,1250.0,2.1750084537939136,0.0,7.80225953436115,5,6,7.131698510466912,22.0,0.0,1250.0,1,1,37.0,0,2,10.0,6,False,0,False,1,0,0
2.0,5.017279836814924,5.017279836814924,150.0,150.0,False,True,0,150.0,1,150.0,2.908048825299513,150.0,17.321016166281755,7,5,5.017279836814924,75.0,0.0,1500.0,0,2,2.0,1,1,10.0,6,False,0,True,0,1,0
60.0,7.575584651557793,7.575584651557793,1949.0,1949.0,False,True,0,1160.0,0,1949.0,2.1402925563794457,0.0,7.501924557351809,7,5,7.575584651557793,33.0,0.0,1949.0,1,1,60.0,1,1,10.0,6,False,1,False,1,1,1
56.0,7.324489979348532,7.378383712996714,1516.0,1600.0,False,False,0,1160.0,0,1500.0,2.2356521241841425,0.0,8.352578906851424,7,5,7.313886831633462,67.0,0.0,1500.0,0,1,56.0,1,1,10.0,5,False,0,True,0,1,0
