feature,mi_score,rank_mi,rf_importance,rank_rf,abs_logit_coef,rank_logit,combined_rank
C318_T,0.027623493549731704,1,0.05022946391959058,1,0.3211799087088665,4,2.0
INGTOT_log,0.016893553242393722,5,0.03373114521352328,10,0.5801965111921348,2,5.666666666666667
INGTRABW_log,0.010983121501075166,13,0.039417909704944826,6,0.6127066008123703,1,6.666666666666667
INGTOT,0.013330229712662955,9,0.033224759973892376,11,0.28411227542238227,6,8.666666666666666
ingtrabw,0.011427856275015413,12,0.03810657161405831,7,0.14866522132401852,21,13.333333333333334
C335_1,0.025788067488073718,2,0.017229824235984938,15,0.12695287532153837,25,14.0
C335_2,0.02292188828543562,3,0.011408656454346047,22,0.1620876189302942,17,14.0
busca_otro_empleo,0.020702074358524003,4,0.01668908013923863,16,0.12695287532153837,24,14.666666666666666
I342,0.008312071360722317,22,0.01545816635462653,19,0.18597789551882624,14,18.333333333333332
trabaja_menos_35h,0.016193497411622237,6,0.007702348126413702,25,0.11854335922400161,27,19.333333333333332
INGTOTP,0.014928891277606215,7,0.03410296661634207,9,0.059989438284071696,51,22.333333333333332
ingreso_por_hora_log,0.006721507385484715,29,0.045099291832248485,4,0.08988254429980963,37,23.333333333333332
ingreso_secundario_total,0.0037995933612933186,53,0.018066599718703905,14,0.298942295059866,5,24.0
ingreso_por_hora,0.0069106808940722075,28,0.04529855602664525,3,0.056382748547966204,54,28.333333333333332
C377,0.005594262678228157,38,0.012491561795334052,21,0.12621023386380853,26,28.333333333333332
SEGURO1,0.005906089588385344,35,0.009907428392585902,23,0.10607156715948385,28,28.666666666666668
INGTOTP_log,0.01193401011217321,10,0.035191928523710884,8,0.04171606993929922,70,29.333333333333332
C208,0.006472106579697545,30,0.04825306279192182,2,0.05282944383744407,61,31.0
horas_secundaria,0.004298222409036434,48,0.00631575221379528,34,0.1901427142699537,13,31.666666666666668
I339_1,0.011850823854193004,11,0.021955083114657974,13,0.03982260990269243,72,32.0
tiene_pension,0.004400779769005769,46,0.005034322467307251,47,0.34807879116814816,3,32.0
C207,0.007144194428181816,25,0.006245706116995735,35,0.08458332306768823,42,34.0
whoraT,0.013390837295519598,8,0.040696690674434724,5,0.025172297867206574,89,34.0
tiene_sis,0.00854026799318941,20,0.004603555590732401,53,0.10599917193904529,30,34.333333333333336
C361_5,0.006269501068909333,32,0.004588950808997653,55,0.10599917193916361,29,38.666666666666664
C328_T,0.002538251666243996,70,0.006342240489932299,32,0.17948906873454476,15,39.0
C366,0.0009762068708971672,83,0.015880045141463624,18,0.17334560606746452,16,39.0
grupo_edad_35_44,0.006341634840144161,31,0.007211471016581106,26,0.05321637850461632,60,39.0
jefe_hogar,0.0025939766703952927,68,0.006907161805116647,29,0.12873576953256266,23,40.0
C311_ ,0.00961253559810804,17,0.0018957386612239383,97,0.15835632244173117,20,44.666666666666664
tiene_afp,0.0014719794100876982,77,0.005339811732573243,44,0.15941366184917133,18,46.333333333333336
trabajador_independiente,0.0070464367330456135,26,0.0022341519777075674,91,0.13063041321115704,22,46.333333333333336
C312_3,0.009615637224975382,16,0.00345173236828209,74,0.056254372448159666,55,48.333333333333336
sexo_mujer,0.002579934087500124,69,0.005866785313097862,36,0.08458332306768823,41,48.666666666666664
C317,0.005262139311677627,41,0.008160915504370177,24,0.02730938279914998,84,49.666666666666664
C364_1,0.000355571479317085,95,0.0051795181664117266,46,0.15941366184917133,19,53.333333333333336
C313_ ,0.008512583971638898,21,0.0031029954175645575,84,0.05463337471061007,58,54.333333333333336
empresa_registrada_sunat,0.0031221561643668405,60,0.004083289157440225,65,0.08678113189613956,38,54.333333333333336
lengua_materna_indigena,0.0031179017612510407,61,0.0036123131739086776,71,0.10357241598046671,33,55.0
C312_1,0.003930265095813956,51,0.0032700856566455546,79,0.09070338099557396,36,55.333333333333336
C317A,0.005045369718557735,43,0.030311287535430678,12,0.009394181386455197,112,55.666666666666664
C331,0.004053475819178365,50,0.015108938383487229,20,0.019120609535457685,97,55.666666666666664
I345_1,0.005978111491378613,34,0.0017482197698194912,102,0.09505677341284453,35,57.0
grupo_edad_45_54,0.0028155345828977385,66,0.007147169628134193,27,0.032503928361003506,79,57.333333333333336
I348,0.003012129375836059,64,0.0041582572142419135,63,0.06993098582804343,47,58.0
conyuge,0.0005070137027720634,93,0.005832165791504866,37,0.06906938498991634,48,59.333333333333336
grupo_edad_55_64,0.004470187119580915,45,0.005363791318617132,43,0.023012859816394376,93,60.333333333333336
empresa_pequena,0.009882075696760362,15,0.003109814430949512,83,0.025882413935886688,86,61.333333333333336
universitaria_completa_o_mas,0.0,112,0.004148020570218291,64,0.25109857123937723,8,61.333333333333336
sexo_hombre,0.00017790668505313079,101,0.005533340952357457,41,0.08458332306768823,43,61.666666666666664
trabajador_dependiente,0.003345112473283507,59,0.0020126271851637536,94,0.10514651145159701,32,61.666666666666664
grupo_educativo_Superior no universitaria,0.0034225700540058135,57,0.003424794506450387,77,0.05835450979940125,52,62.0
C313_2,0.0042470646860339745,49,0.003606643798066767,72,0.04249766769580722,69,63.333333333333336
proporcion_ingreso_principal,0.010550361964105415,14,0.005302772671002964,45,0.0017794098842234766,131,63.333333333333336
trabaja_mas_48h,0.006942541292443538,27,0.005749775164398076,39,0.0035648024572715624,124,63.333333333333336
hijo_hogar,0.0,106,0.006339460669035164,33,0.058080916051822314,53,64.0
empresa_no_registrada_sunat,0.002602306914152308,67,0.0037881606690448825,69,0.056254372448159666,56,64.0
superior_incompleta,0.0015741925398431444,75,0.003684856820349689,70,0.06619872126416596,49,64.66666666666667
C311_5,0.00577295821102064,37,0.003181864067340249,81,0.03346559702541967,77,65.0
autoidentificacion_mestizo,0.00023186444299416742,98,0.0070359555598765045,28,0.041247221896315724,71,65.66666666666667
tiene_seguro_salud,0.001002684470948756,81,0.0028784430204736615,87,0.10588125581147816,31,66.33333333333333
