C207,C208,C203,C366,C366_1,C366_2,C310,C311,C312,C313,C317,C317A,C335,C318_T,C328_T,whoraT,C331,INGTOT,INGTOTP,ingtrabw,I339_1,I342,I345_1,I348,INGTOT_log,INGTOTP_log,INGTRABW_log,SEGURO1,C361_1,C361_5,C364_1,C364_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,whoraT_missing_flag,C318_T_missing_flag,whoraT_outlier_flag,INGTOT_outlier_flag,INGTRABW_outlier_flag,sexo_mujer,sexo_hombre,edad,grupo_edad,joven,adulto_mayor,jefe_hogar,conyuge,hijo_hogar,tiene_discapacidad,cantidad_limitaciones,lengua_materna_indigena,autoidentificacion_indigena,autoidentificacion_afro,autoidentificacion_mestizo,nivel_educativo_ord,educacion_basica_o_menos,secundaria_completa,superior_incompleta,superior_completa,universitaria_completa_o_mas,educacion_superior,brecha_educativa_baja,grupo_educativo,trabajador_independiente,trabajador_dependiente,empleador,trabajador_hogar,trabajador_familiar_no_remunerado,sector_publico,sector_privado,empresa_registrada_sunat,empresa_no_registrada_sunat,lleva_libros_contables,posible_informalidad,empresa_pequena,empresa_mediana_grande,busca_otro_empleo,horas_totales,horas_principal,horas_secundaria,trabaja_menos_35h,trabaja_mas_48h,sobrejornada,brecha_horas_normal,tiene_seguro_salud,tiene_essalud,tiene_sis,tiene_afp,tiene_snp,tiene_pension,proteccion_social_completa,ingreso_total,ingreso_principal,ingreso_laboral,ingreso_total_log,ingreso_principal_log,ingreso_laboral_log,ingreso_por_hora,ingreso_por_hora_log,ingreso_secundario_total,tiene_ingreso_secundario,proporcion_ingreso_principal,dependencia_ingreso_principal,bajo_ingreso_relativo,alto_ingreso_relativo,ingreso_cero,ingreso_outlier
1,43.0,1,6,5, ,2, ,3,2,1,1,2,51.0,,51.0,,1371.0,1371.0,1371.0,,1371.0,,,7.22402480828583,7.22402480828583,7.22402480828583,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,43.0,35_44,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,51.0,51.0,0.0,0,1,0,,1,0,1,0,0,0,0,1371.0,1371.0,1371.0,7.22402480828583,7.22402480828583,7.22402480828583,6.208395598424127,1.975246402044197,1371.0,1,1.0,1,0,0,0,0
2,78.0,1,1, , ,2, ,3,2,1,1,2,60.0,,60.0,,866.0,866.0,866.0,,866.0,,,6.765038976780541,6.765038976780541,6.765038976780541,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,78.0,65_mas,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,Sin nivel / Inicial,1,0,0,0,0,0,0,0,1,0,1,1,0,0,60.0,60.0,0.0,0,1,0,,1,0,1,0,0,0,0,866.0,866.0,866.0,6.765038976780541,6.765038976780541,6.765038976780541,3.333333333333333,1.466337068793427,866.0,1,1.0,1,1,0,0,0
1,31.0,1,10,3, ,3,5,1, ,5,1000,2,48.0,,48.0,,2920.0,2920.0,3913.0,2300.0,,,,7.979681302387741,7.979681302387741,8.272315147956022,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,31.0,25_34,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,1,1,1,0,Superior universitaria,0,1,0,0,0,0,1,1,0,0,0,0,1,0,48.0,48.0,0.0,0,0,0,,1,1,0,1,0,1,1,2920.0,2920.0,3913.0,7.979681302387741,7.979681302387741,8.272315147956022,18.82698229407236,2.987043752135013,0.0,0,1.0,1,0,1,0,0
1,37.0,1,8,2, ,2, ,3,2,1,1,2,42.0,,42.0,,2400.0,2400.0,2400.0,,2400.0,,,7.783640596221253,7.783640596221253,7.783640596221253,1,1,2,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,37.0,35_44,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,1,0,1,0,Superior no universitaria,1,0,0,0,0,0,0,0,1,0,1,1,0,0,42.0,42.0,0.0,0,0,0,,1,1,0,1,0,1,1,2400.0,2400.0,2400.0,7.783640596221253,7.783640596221253,7.783640596221253,13.196964698119432,2.6530281881050857,2400.0,1,1.0,1,0,0,0,0
1,52.0,1,5,4, ,1, ,2,2,1,5,2,60.0,,60.0,,1281.0,1281.0,1281.0,,631.0,,,7.156176637480615,7.156176637480615,7.156176637480615,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,52.0,45_54,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,Secundaria incompleta,0,0,1,0,0,0,0,1,0,0,0,1,0,0,60.0,60.0,0.0,0,1,0,,1,0,1,0,0,0,0,1281.0,1281.0,1281.0,7.156176637480615,7.156176637480615,7.156176637480615,4.930715935334873,1.780144936807362,631.0,1,1.0,1,0,0,0,0
2,30.0,1,6,5, ,2, ,3,2,1,1,2,9.0,,9.0,,540.0,540.0,540.0,,540.0,,,6.293419278846481,6.293419278846481,6.293419278846481,5,2,1,2,2,2,2,2,2,2,2,10,1,0,0,0,0,0,1,0,30.0,25_34,0,0,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,9.0,9.0,0.0,1,0,0,,1,0,1,0,0,0,0,540.0,540.0,540.0,6.293419278846481,6.293419278846481,6.293419278846481,13.856812933025404,2.6984585434085107,540.0,1,1.0,1,1,0,0,0
2,25.0,1,11,5, ,3,5,2,1,1,10,2,32.0,8.0,58.0,58.0,1600.0,1200.0,1600.0,1200.0,,,400.0,7.378383712996714,7.090909822079984,7.378383712996714,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,25.0,25_34,1,0,1,0,0,0,0,0,0,0,1,11,0,0,0,1,1,1,0,Posgrado,0,1,0,0,0,0,1,1,0,1,0,1,0,0,58.0,32.0,8.0,0,1,0,0.0,1,0,1,0,0,0,0,1600.0,1200.0,1600.0,7.378383712996714,7.090909822079984,7.378383712996714,6.370948474954209,1.997546391944517,400.0,1,0.75,0,0,0,0,0
1,22.0,3,6,5, ,3,5,1, ,1,15,1,37.0,,37.0,,1250.0,1250.0,1250.0,1250.0,,,,7.131698510466912,7.131698510466912,7.131698510466912,6,2,2,1,2,2,2,2,2,2,2,10,5,0,0,0,0,0,0,1,22.0,14_24,1,0,0,0,1,0,0,0,0,1,0,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,1,0,1,37.0,37.0,0.0,0,0,0,,0,0,0,1,0,1,0,1250.0,1250.0,1250.0,7.131698510466912,7.131698510466912,7.131698510466912,7.80225953436115,2.1750084537939136,0.0,0,1.0,1,0,0,0,0
2,75.0,11,6,5, ,2, ,3,2,1,1,2,2.0,,2.0,,150.0,150.0,150.0,,150.0,,,5.017279836814924,5.017279836814924,5.017279836814924,5,2,1,2,2,2,2,2,2,2,2,10,7,0,0,0,0,0,1,0,75.0,65_mas,0,1,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2.0,2.0,0.0,1,0,0,,1,0,1,0,0,0,0,150.0,150.0,150.0,5.017279836814924,5.017279836814924,5.017279836814924,17.321016166281755,2.908048825299513,150.0,1,1.0,1,1,0,0,0
1,33.0,1,6,5, ,3,5,2,2,1,3,2,60.0,,60.0,,1949.0,1949.0,1949.0,1949.0,,,,7.575584651557793,7.575584651557793,7.575584651557793,5,2,1,1,2,2,2,2,2,2,2,10,7,0,0,0,0,0,0,1,33.0,25_34,0,0,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,Secundaria completa,0,1,0,0,0,0,1,1,0,0,0,1,0,0,60.0,60.0,0.0,0,1,0,,1,0,1,1,0,1,1,1949.0,1949.0,1949.0,7.575584651557793,7.575584651557793,7.575584651557793,7.501924557351809,2.1402925563794457,0.0,0,1.0,1,0,0,0,0
